Description, Level, Line_Number, Rule, RuleId, RuleNamespace, Section, Source, Tool
The class must have a documentation header., Warning, 9, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.StyleCopDemo.Program, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
The method must have a documentation header., Warning, 11, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.StyleCopDemo.Program.Main%string[], c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
The method must have a documentation header., Warning, 19, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.StyleCopDemo.Program.Output1, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
The method must have a documentation header., Warning, 24, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.StyleCopDemo.Program.Output2, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
The method must have a documentation header., Warning, 29, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.StyleCopDemo.Program.Output3, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
The file has no header  the header Xml is invalid  or the header is not located at the top of the file., Warning, 1, FileMustHaveHeader, SA1633, StyleCop.CSharp.DocumentationRules, Root, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
Adjacent elements must be separated by a blank line., Warning, 29, ElementsMustBeSeparatedByBlankLine, SA1516, StyleCop.CSharp.LayoutRules, Root.StyleCopDemo.Program.Output3, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
A closing curly bracket must not be preceded by a blank line., Warning, 28, ClosingCurlyBracketsMustNotBePrecededByBlankLine, SA1508, StyleCop.CSharp.LayoutRules, Root.StyleCopDemo.Program.Output2, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
Statements or elements wrapped in curly brackets must be followed by a blank line., Warning, 28, ClosingCurlyBracketMustBeFollowedByBlankLine, SA1513, StyleCop.CSharp.LayoutRules, Root.StyleCopDemo.Program.Output2, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
Statements or elements wrapped in curly brackets must be followed by a blank line., Warning, 34, ClosingCurlyBracketMustBeFollowedByBlankLine, SA1513, StyleCop.CSharp.LayoutRules, Root.StyleCopDemo, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
The code must not contain blank lines at the end of the file., Warning, 40, CodeMustNotContainBlankLinesAtEndOfFile, SA1518, StyleCop.CSharp.LayoutRules, Root, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
The class must have an access modifier., Warning, 9, AccessModifierMustBeDeclared, SA1400, StyleCop.CSharp.MaintainabilityRules, Root.StyleCopDemo.Program, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
The method must have an access modifier., Warning, 11, AccessModifierMustBeDeclared, SA1400, StyleCop.CSharp.MaintainabilityRules, Root.StyleCopDemo.Program.Main%string[], c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 1, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 2, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Collections.Generic, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 3, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Linq, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 4, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Text, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 5, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Threading.Tasks, c:\Users\320067257\source\repos\Tool\Tool\Program.cs, StyleCop
